unique_id,amount,date_time_of_pickup,longitude_of_pickup,latitude_of_pickup,longitude_of_dropoff,latitude_of_dropoff,no_of_passenger,pickup_day,pickup_month,pickup_year,pickup_weekday,pickup_hour,mid_night_trip,rush_hour_trip,snow_season,pickup_manhattan,pickup_jfk,pickup_brooklyn,pickup_bronx,pickup_laGuardia,drop_manhattan,drop_jfk,drop_brooklyn,drop_bronx,drop_laGuardia,isAirportTrip
27:00.0,4.5,2012-03-18 14:27:00 UTC,-73.985595,40.74862,-73.978848,40.751808,1,18,3,2012,6,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
57:00.0,7.3,2011-04-07 21:57:00 UTC,-73.972527,40.755235,-73.96221,40.773218,2,7,4,2011,3,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0
15:00.0,9.0,2012-09-17 07:15:00 UTC,-73.952815,40.772472,-73.97291,40.759575,2,17,9,2012,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
29:59.0,12.0,2015-06-27 19:29:59 UTC,-73.95343781,40.78244781,-73.98278809,40.76171875,1,27,6,2015,5,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
43:32.0,8.5,2010-10-01 23:43:32 UTC,-73.999663,40.730215,-73.983766,40.725793,2,1,10,2010,4,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13:00.0,5.0,2012-09-09 11:13:00 UTC,-73.958613,40.77555,-73.95775,40.779442,1,9,9,2012,6,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22:00.0,5.7,2010-04-08 00:22:00 UTC,-73.9814,40.763967,-73.988132,40.777698,2,8,4,2010,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
30:00.0,8.5,2013-10-05 19:30:00 UTC,-73.983265,40.742112,-73.978717,40.763602,1,5,10,2013,5,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
47:00.0,5.7,2010-09-12 23:47:00 UTC,-73.97124,40.751097,-73.980917,40.729727,1,12,9,2010,6,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26:00.0,5.3,2010-01-03 18:26:00 UTC,-73.973297,40.743768,-73.98606,40.730768,3,3,1,2010,6,18,0,1,1,1,0,0,0,0,1,0,0,0,0,0
34:00.0,16.9,2011-09-03 08:34:00 UTC,-74.00422,40.716433,-73.964803,40.791477,6,3,9,2011,5,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46:34.0,41.87,2009-09-16 08:46:34 UTC,-73.991017,40.734104,-73.852035,40.78475,1,16,9,2009,2,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1
50:00.0,4.9,2011-04-08 20:50:00 UTC,-73.978268,40.745865,-73.988905,40.742047,2,8,4,2011,4,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0
38:00.0,14.0,2014-07-13 01:38:00 UTC,-73.98878,40.736528,-73.949915,40.784372,2,13,7,2014,6,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
53:00.0,8.1,2011-12-21 17:53:00 UTC,-74.002147,40.718423,-73.989787,40.736858,4,21,12,2011,2,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0
49:36.0,6.9,2010-11-19 07:49:36 UTC,-73.983226,40.738507,-73.971011,40.761082,1,19,11,2010,4,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28:00.0,12.1,2012-02-14 19:28:00 UTC,-73.988862,40.742867,-73.981213,40.779302,1,14,2,2012,1,19,0,1,1,1,0,0,0,0,1,0,0,0,0,0
58:17.0,12.0,2015-03-03 21:58:17 UTC,-73.98318481,40.73872757,-73.98165131,40.76470566,1,3,3,2015,1,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32:10.0,11.0,2013-10-30 07:32:10 UTC,-73.955816,40.782248,-73.981509,40.763444,1,30,10,2013,2,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
58:07.0,8.5,2011-07-11 17:58:07 UTC,-73.995533,40.764723,-73.975887,40.761271,1,11,7,2011,0,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0
28:00.0,7.7,2011-03-25 19:28:00 UTC,-73.987188,40.733318,-73.988018,40.748293,4,25,3,2011,4,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
35:59.0,9.0,2014-02-22 19:35:59 UTC,-73.973459,40.795223,-73.955802,40.777919,1,22,2,2014,5,19,0,1,1,1,0,0,0,0,1,0,0,0,0,0
20:19.0,16.1,2011-10-06 21:20:19 UTC,-74.00823,40.734773,-73.949348,40.781946,1,6,10,2011,3,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21:40.0,10.0,2014-11-09 00:21:40 UTC,-73.990854,40.756073,-73.980479,40.777335,3,9,11,2014,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
16:49.0,49.8,2012-03-19 18:16:49 UTC,-73.78164,40.644865,-73.958448,40.809817,1,19,3,2012,0,18,0,1,0,0,1,0,0,0,1,0,0,0,0,1
20:00.0,9.0,2013-07-29 14:20:00 UTC,-73.978662,40.777433,-73.964289,40.767714,1,29,7,2013,0,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
49:00.0,6.0,2013-06-13 18:49:00 UTC,-73.960403,40.770302,-73.94792,40.771127,1,13,6,2013,3,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
45:43.0,11.5,2013-10-14 14:45:43 UTC,-73.982076,40.764823,-73.990251,40.751157,3,14,10,2013,0,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50:38.0,32.0,2012-12-16 11:50:38 UTC,-74.006233,40.708151,-73.883121,40.755731,1,16,12,2012,6,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38:32.0,5.3,2011-04-06 15:38:32 UTC,-74.008152,40.729594,-73.994434,40.731992,2,6,4,2011,2,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0
48:08.0,3.7,2011-08-17 18:48:08 UTC,-73.975854,40.781377,-73.977263,40.784592,1,17,8,2011,2,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
32:37.0,8.9,2011-10-26 22:32:37 UTC,-73.986494,40.762347,-73.970036,40.785423,2,26,10,2011,2,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0
29:17.0,6.9,2011-04-12 13:29:17 UTC,-73.985023,40.745095,-73.984231,40.757569,1,12,4,2011,1,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50:00.0,5.5,2014-12-06 18:50:00 UTC,-73.95584,40.772055,-73.948758,40.771575,3,6,12,2014,5,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
57:49.0,10.9,2012-04-05 20:57:49 UTC,-73.975854,40.728163,-73.952676,40.770628,2,5,4,2012,3,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0
52:00.0,10.5,2012-10-04 20:52:00 UTC,-73.967952,40.802707,-73.951603,40.785037,5,4,10,2012,3,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0
36:44.0,7.7,2011-05-16 10:36:44 UTC,-73.9847,40.768557,-74.000697,40.758149,2,16,5,2011,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
05:19.0,15.7,2009-09-20 04:05:19 UTC,-74.004903,40.740807,-73.951528,40.766395,3,20,9,2009,6,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0
32:00.0,9.5,2014-11-12 13:32:00 UTC,-73.985685,40.723155,-73.99194,40.737682,2,12,11,2014,2,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0
33:14.0,7.0,2015-05-31 02:33:14 UTC,-73.9938736,40.72746277,-74.010849,40.72024155,1,31,5,2015,6,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0
52:04.0,11.0,2014-03-04 08:52:04 UTC,-74.006054,40.744997,-73.978653,40.750646,1,4,3,2014,1,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17:11.0,8.5,2009-10-17 02:17:11 UTC,-74.005381,40.73997,-73.987794,40.721107,2,17,10,2009,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0
44:00.0,10.9,2012-08-12 22:44:00 UTC,-73.951495,40.810287,-73.948352,40.774382,1,12,8,2012,6,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0
42:38.0,5.5,2013-05-02 21:42:38 UTC,-73.972273,40.758865,-73.971508,40.75077,1,2,5,2013,3,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0
56:06.0,3.7,2012-05-02 22:56:06 UTC,-73.99301,40.762924,-73.98956,40.771332,1,2,5,2012,2,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23:00.0,11.5,2013-07-18 17:23:00 UTC,-73.99164,40.749732,-73.97911,40.752577,1,18,7,2013,3,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0
37:40.0,6.1,2009-02-18 15:37:40 UTC,-73.976684,40.760763,-73.970256,40.763114,1,18,2,2009,2,15,0,0,1,1,0,0,0,0,1,0,0,0,0,0
40:00.0,3.7,2012-04-20 12:40:00 UTC,-73.979762,40.784472,-73.981185,40.781357,1,20,4,2012,4,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19:00.0,18.5,2012-10-05 03:19:00 UTC,-74.013317,40.705512,-73.9695,40.748772,1,5,10,2012,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0
17:24.0,11.0,2015-01-06 15:17:24 UTC,-73.96934509,40.76382828,-73.99437714,40.75022125,2,6,1,2015,1,15,0,0,1,1,0,0,0,0,1,0,0,0,0,0
40:17.0,18.0,2009-02-12 00:40:17 UTC,-73.953183,40.735534,-73.953191,40.735544,1,12,2,2009,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
56:29.0,17.5,2014-12-27 13:56:29 UTC,-73.969517,40.785968,-73.979053,40.744274,1,27,12,2014,5,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0
33:00.0,4.1,2009-08-10 14:33:00 UTC,-73.974883,40.761665,-73.982748,40.761665,2,10,8,2009,0,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27:00.0,14.0,2012-12-07 18:27:00 UTC,-73.968443,40.75231,-73.98451,40.767005,1,7,12,2012,4,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
22:00.0,4.5,2013-05-13 12:22:00 UTC,-73.98477,40.754362,-73.97705,40.750672,1,13,5,2013,0,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
34:00.0,4.0,2014-04-21 20:34:00 UTC,-73.989248,40.730607,-73.990545,40.7247,1,21,4,2014,0,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0
30:00.0,9.0,2013-02-16 21:30:00 UTC,-73.964952,40.759862,-73.986385,40.739317,1,16,2,2013,5,21,0,0,1,1,0,0,0,0,1,0,0,0,0,0
23:00.0,7.7,2009-03-09 20:23:00 UTC,-73.961952,40.77434,-73.971535,40.798732,2,9,3,2009,0,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0
40:27.0,9.5,2014-12-24 09:40:27 UTC,-74.011014,40.715807,-74.005989,40.741163,1,24,12,2014,2,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28:00.0,7.5,2014-04-14 18:28:00 UTC,-73.955768,40.779632,-73.972687,40.782475,1,14,4,2014,0,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
59:00.0,12.0,2014-12-23 14:59:00 UTC,-73.961335,40.760355,-73.984125,40.770307,1,23,12,2014,1,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
06:12.0,2.9,2010-01-10 14:06:12 UTC,-73.973627,40.76533,-73.962637,40.77575,1,10,1,2010,6,14,0,0,1,1,0,0,0,0,1,0,0,0,0,0
10:47.0,24.0,2015-03-17 20:10:47 UTC,-73.99791718,40.72408295,-73.96658325,40.80498886,1,17,3,2015,1,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0
43:00.0,12.5,2011-12-29 12:43:00 UTC,-73.949392,40.781342,-73.976167,40.735875,2,29,12,2011,3,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
35:03.0,4.5,2015-02-24 08:35:03 UTC,-73.99432373,40.75650787,-74.00032806,40.75756454,1,24,2,2015,1,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0
28:10.0,7.5,2015-01-22 08:28:10 UTC,-73.99753571,40.75681686,-73.97945404,40.75258255,1,22,1,2015,3,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0
03:00.0,19.0,2013-02-06 01:03:00 UTC,-73.98088,40.763272,-73.93405,40.793832,1,6,2,2013,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
22:00.0,18.5,2012-11-29 23:22:00 UTC,-73.970485,40.758602,-74.010937,40.7165,6,29,11,2012,3,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30:00.0,7.3,2009-09-21 10:30:00 UTC,-73.988613,40.750027,-73.987355,40.744665,1,21,9,2009,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00:00.0,5.3,2010-08-24 18:00:00 UTC,-73.96849,40.791468,-73.97882,40.779957,1,24,8,2010,1,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
11:00.0,10.5,2012-01-22 15:11:00 UTC,-73.98584,40.726887,-73.993102,40.756277,3,22,1,2012,6,15,0,0,1,1,0,0,0,0,1,0,0,0,0,0
50:07.0,16.0,2014-07-07 02:50:07 UTC,-73.989584,40.769491,-73.918237,40.768159,2,7,7,2014,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
43:00.0,9.3,2009-11-17 19:43:00 UTC,-73.968562,40.799337,-73.93912,40.809233,4,17,11,2009,1,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
02:08.0,10.0,2013-12-12 19:02:08 UTC,-74.002595,40.737675,-73.987135,40.729482,1,12,12,2013,3,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
18:48.0,20.5,2012-02-16 11:18:48 UTC,-73.981482,40.757837,-73.991974,40.690763,1,16,2,2012,3,11,0,0,1,1,0,0,0,0,0,0,1,0,0,0
50:00.0,6.5,2011-07-04 02:50:00 UTC,-73.96352,40.757617,-73.980635,40.76503,1,4,7,2011,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0
16:28.0,3.5,2015-01-08 10:16:28 UTC,-73.95386505,40.7709198,-73.95406342,40.77473068,1,8,1,2015,3,10,0,0,1,1,0,0,0,0,1,0,0,0,0,0
02:47.0,8.9,2009-03-04 14:02:47 UTC,-73.977498,40.752695,-73.978797,40.768259,1,4,3,2009,2,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
03:00.0,8.9,2012-02-25 13:03:00 UTC,-73.99048,40.75144,-73.982175,40.771437,1,25,2,2012,5,13,0,0,1,1,0,0,0,0,1,0,0,0,0,0
38:40.0,22.9,2012-06-03 00:38:40 UTC,-73.997403,40.741859,-73.903338,40.71613,1,3,6,2012,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
38:45.0,28.5,2011-12-09 13:38:45 UTC,-73.863112,40.768842,-73.989446,40.740624,1,9,12,2011,4,13,0,0,0,0,0,0,0,1,1,0,0,0,0,1
34:08.0,15.0,2014-01-07 14:34:08 UTC,-73.987323,40.736002,-74.011555,40.703076,1,7,1,2014,1,14,0,0,1,1,0,0,0,0,1,0,0,0,0,0
14:08.0,4.9,2010-08-20 06:14:08 UTC,-73.985125,40.73245,-73.990784,40.740317,1,20,8,2010,4,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0
